rollno,date,period_1,period_2,period_3,period_4,period_5,period_6
112001,2024-12-10,P,P,A,P,A,P
112002,2024-12-10,A,P,A,P,A,P
112003,2024-12-10,P,P,A,A,A,A
112004,2024-12-10,A,A,A,A,P,P
112005,2024-12-10,A,P,A,P,P,A
112006,2024-12-10,P,A,A,P,P,P
112007,2024-12-10,A,P,A,A,A,A
112008,2024-12-10,P,A,A,A,P,P
112009,2024-12-10,P,A,A,P,A,A
112010,2024-12-10,P,P,A,A,P,P
112011,2024-12-10,P,P,P,P,P,P
112012,2024-12-10,P,P,A,A,P,P
112013,2024-12-10,A,A,P,A,P,A
112014,2024-12-10,A,P,P,P,P,P
112015,2024-12-10,A,P,P,P,P,A
112016,2024-12-10,A,A,P,A,P,A
112017,2024-12-10,P,A,P,P,P,A
112018,2024-12-10,A,P,A,P,A,P
112019,2024-12-10,A,A,P,A,P,A
112020,2024-12-10,P,P,A,P,P,P
112021,2024-12-10,P,P,A,P,P,A
112022,2024-12-10,P,P,A,A,A,A
112023,2024-12-10,A,A,A,P,P,A
112024,2024-12-10,A,A,A,A,P,A
112025,2024-12-10,A,P,P,P,P,P
112026,2024-12-10,A,P,P,A,P,A
112027,2024-12-10,P,P,P,A,A,P
112028,2024-12-10,A,P,A,A,A,P
112029,2024-12-10,P,A,P,P,P,P
112030,2024-12-10,P,A,A,A,P,P
